Si,a,b,c,d
S1,29.37644342,1.529041769761897,0.0,0.09297517153273596
S2,33.81062356,2.9132790283088177,0.6213687227936504,-0.20014889699098412
S3,40.46189376,3.0196831808087823,-0.5676346257865414,0.03589566460443606
S4,46.00461894,0.24229913110778123,0.1520556786657257,-0.01721557392165888
S5,49.05311778,0.3668214868810236,-0.12918884608337652,0.02311668244041078
S6,50.71593533,0.8975664781983754,0.2312940730233262,-0.03154863356872307
S7,54.59584296,1.4365616513535915,-0.04983236474588283,-0.04029614031790282
S8,57.36720554,0.07396982781548578,-0.40890688246607254,0.036754063188472866
S9,54.59584296,-1.415912836496444,-0.05410280737197971,0.026965624538462407
S10,50.16166282,-0.8194224373822937,0.22623289370791957,-0.015368665531183974
S11,50.16166282,0.1828906093130497,-0.07048886634675491,0.005236728456128659
S12,49.88452656,-0.11052197646935419,0.01895030782841431,-0.00617103383148966
S13,49.05311778,-0.37660317279144684,-0.07269870948010212,0.016904752432421913
S14,47.94457275,0.6656519664720606,0.24112714003628735,-0.038437716595881646
S15,51.54734411,0.9520776077449171,-0.15847288344369884,0.01693442671384766
S16,53.76443418,0.4756429788664408,0.030153156831662992,0.00060592481826755
S17,56.53579677,0.7804191066520808,0.03825215191903939,-0.007354300382487401
S18,59.58429561,0.7603235308700478,-0.04366456032548129,0.006879696515767221
S19,62.90993072,0.8061112006196864,0.05340046483451867,0.0020059469503025053
S20,68.45265589,1.4823103146137564,0.08319175617862412,0.005430392904634477
S21,75.38106236,2.3246515111229393,0.14367880590573545,-0.02859332427536141
S22,83.97228637,2.290345562188542,-0.1535785226972303,0.009522738691767455
S23,90.06928406,1.597775008856938,-0.06165109422301202,0.006245213483497054
S24,96.16628176,1.410673609004159,0.01718699692993106,-0.009118624030842922
S25,101.9861432,1.0207837959820962,-0.1046956002833021,0.006178008521651451
S26,105.8660508,0.44084981839168785,0.014582782726032613,-0.0030944808320676996
S27,108.6374134,0.17186041453856582,-0.05205578944548902,0.003100593451281018
S28,108.3602771,-0.1028985548209737,0.012411995470606462,-0.00048182722267006717
S29,108.0831409,-0.0015577062291547946,0.002751598208729553,-0.0005146493640194593
S30,108.0831409,-0.009825272194878693,-0.004509543812962671,-0.004250145970223806
S31,106.9745958,-0.5133753579158612,-0.0802547200375136,0.007463710256890635
S32,103.3718245,-0.7592281235289667,0.03059246088704357,-0.006863860131421245
S33,95.05773672,-1.7027328139193059,-0.14270301800474602,0.024132815855141525
S34,87.57505774,-1.6975031371081881,0.14402351137941574,-0.09999448759812352
S35,79.26096998,-4.301709715350567,-0.8955231314729308,0.29811742731190366
S36,70.66974596,-4.7200220011328975,0.6540971882311624,-0.07035982953022626
S37,61.24711316,-2.7229420720566884,0.07937582470624913,0.0018723694098500736
S38,51.82448037,-2.0061197920634135,0.10162179823183787,-0.012508226588784763
S39,46.00461894,-1.7406628028814903,-0.019125934358355714,0.01727663488697581
S40,40.46189376,-1.250812822647536,0.1604826443537219,-0.018009719157570325
