Si,a,b,c,d
S1,-16.08733347,0.05874106714220095,0.0,0.8043185438783609
S2,-15.07976907,2.7465140934146683,2.546659981289418,-0.6049693951525401
S3,-10.84803087,5.902313246785787,0.8706269839532608,-1.3592971919659307
S4,-9.571790318,-12.191056767065948,-8.633700973758312,3.04624629971373
S5,-9.504622433,57.84516815093945,26.731695896658948,-673.2289523384388
S6,-4.668350207,46.92445987740285,-150.9006114463151,349.25272160386993
S7,-0.302267014,25.344754655482117,-12.676048058310258,0.5987374873992158
S8,1.444162573,-20.94375989277556,-8.805577078669728,11.418278219518896
S9,1.981524104,58.6579883222144,52.955480465433745,4005.589910020157
S10,5.004194245,86.55545967084852,581.413598188777,-8220.132990467411
S11,9.235932443,90.00076020053304,-503.0698624648636,1786.0370711853686
S12,14.47523043,42.95682055257676,-31.821784406999843,5.903164720220866
S13,16.08731963,-8.310789476352683,10.232425050159177,-2.6211893548429033
S14,17.56506846,4.827297567409952,-1.1791016498990945,-0.23464927075246197
S15,21.19227263,1.2107771843889306,-1.9839663082841548,0.6410375407600982
S16,20.72207898,0.5840351267747217,1.652521331328237,-0.4830196823775999
S17,24.14777488,1.990101873975571,-0.8326782149131028,-0.0013779414437565863
S18,25.02098968,-1.0259488888053971,-0.8401314382990319,0.6886150713072889
S19,23.81192162,-0.49818749142958896,1.3401843867468124,-0.14638464736609202
S20,25.35684294,2.404027940446872,0.7222013865625925,-0.35263657738562215
S21,29.38706826,2.1986802229735916,-0.8595430132018482,0.16564513456405136
S22,31.93954475,0.8914400421926343,0.2986641334092917,-0.1399791406627334
S23,33.75314914,-0.6016286970029316,-0.8462834641974766,0.49658979941361453
S24,32.94710223,1.5247227972734874,1.9707788023648876,-1.3567467629629812
S25,35.16372777,-1.327055948435764,-3.935910801026079,2.7564295180565628
S26,33.01427243,-2.3768267134756833,2.6097004544175544,-0.5380839369431221
S27,34.62636394,1.374716650244013,-0.8686776119469058,0.13652194286017846
S28,34.9622172,-0.4665242523859129,-0.022168391817645863,-0.021326290847033923
S29,33.48446607,-0.9174014228659992,-0.17128353866504137,0.1029147722952781
S30,32.07388513,-0.7393949897198522,0.2903386388695274,-0.21586342172485073
S31,31.20067034,-1.0062304849801185,-0.5070469350604425,0.9838165397847644
S32,30.7304767,1.2110810837065025,2.607945547695386,-1.6317059936302278
S33,32.61125128,2.1517716068070647,-1.4820893649376072,-0.07176802931922296
S34,32.27539802,-2.7614632138488275,-1.804003444465763,4.042099669959735
S35,33.68597665,11.180987450254836,13.127252344304738,-27.51659207597033
S36,37.04450005,12.361416199491464,-8.653359174827878,1.5114507250207638
S37,37.98488734,-3.3440159881115314,1.9148536258489464,-0.2829694049305478
S38,37.58186389,0.40081312729326685,-0.6983181290563781,0.22647041963190312
S39,37.71620427,1.0817237189380022,0.9748161527352592,-0.7087655352775551
S40,38.45507868,-2.834530329630867,-3.045879876601176,3.1976701268495873
S41,35.96977238,-2.027305863993539,4.125663207409907,-1.6324352683465688
S42,34.42485336,-6.986243565809909,-6.4270157378764345,15.007554759208352
S43,32.4097384,-7.243398380464245,5.452406478551859,-1.0254696311095637
S44,32.4097384,0.34023443118869845,-2.5295021213365096,0.8749673177592033
S45,29.9244344,0.1596948400291797,2.4340259358452485,-1.117040328586694
S46,29.9244344,-5.778277323839307,-5.081667579404051,7.472599841706342
S47,27.30478541,-6.2891697373214095,3.790812799812233,-0.48306808079868363
S48,27.90931943,3.6206345260571275,0.09450557347381161,-0.9372231024679255
S49,26.36439812,-9.556960145809349,-6.087690020665649,12.712315982325945
S50,22.06548973,-7.536049173512083,10.683227337452355,-4.146734130928988
S51,20.6549111,-4.120271543207071,-8.463945964734222,12.611497550019223
S52,18.70696863,-5.39296834335787,4.846291733158807,-5.483837803281435
S53,15.68429849,-6.157800344665477,-6.005762856513196,5.35432607285187
S54,10.24349223,-6.657049650311523,5.296202107779885,-2.6756561119829176
S55,7.959696502,-3.411448994166281,1.4133021858186339,-0.41231930544391676
S56,5.608728274,-1.8345924393296085,0.21660533237872062,-0.20844386783972668
S57,2.65323063,-2.5848042529197284,-0.7183655242188602,1.2346530627633858
S58,0.638115665,0.9310255288821867,3.6794753771639273,-4.521797156756652
S59,-0.638120277,-9.455444153874335,-12.427190603343881,29.624493617690987
S60,-3.862303299,-8.68456906368349,14.931356899492608,-6.658887698887835
S61,-5.071371355,-6.219958285724568,-13.179936254941993,9.131769681906258
S62,-5.608732886,35.30902454734779,36.2133958467126,-52.98720056477437
S63,-6.146099029,-116.517285633658,-159.51790960410213,2272.277796847341
S64,-11.3853924,-117.3640066239746,140.2640636984383,-41.58884929461223
S65,-11.3853924,18.842431092137534,-51.76872155853795,28.85811026603394
S66,-13.19899449,-11.784372387177363,5.3390557310040965,0.6155152292357786
S67,-17.29639692,-6.731525010256304,6.15108361455643,-4.124995115703939
S68,-19.58018803,-3.6762821856630308,0.16505891994771701,-0.0735969890027738
